text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
Just please look at how scared and full of tence lauren's face is after tryin reaching camila's hand,negative,just please look at how scared and full of tence laurens face is after tryin reaching camilas hand,please look scared full tence laurens face tryin reaching camilas hand,pleas look scare full tenc lauren face tryin reach camila hand,please look scared full tence laurens face tryin reaching camilas hand,pleas look scare full tenc lauren face tryin reach camila hand,please look scared full tence laurens face tryin reaching camilas hand
 baby unhappy  (bett,negative,baby unhappy bett,baby unhappy bett,babi unhappi bett,baby unhappy bett,babi unhappi bett,baby unhappy bett
aww eunji didnt see win today sad  but congratulations to winner !!!!,negative,aww eunji didnt see win today sad but congratulations to winner,aww eunji didnt see win today sad congratulations winner,aww eunji didnt see win today sad congratul winner,aww eunji didnt see win today sad congratulation winner,aww eunji didnt see win today sad congratul winner,aww eunji didnt see win today sad congratulation winner
You can have mine and I'll take the iPhone. I'm switching back when my contract is up... in a year and a half unhappy ,negative,you can have mine and ill take the iphone im switching back when my contract is up in year and half unhappy,mine ill take iphone im switching back contract year half unhappy,mine ill take iphon im switch back contract year half unhappi,mine ill take iphone im switching back contract year half unhappy,mine ill take iphon im switch back contract year half unhappi,mine ill take iphone im switching back contract year half unhappy
i know.. i really want his ranks to rise a lot during tmr's episode but seeing how many tweet about him.. unhappy ,negative,know really want his ranks to rise lot during tmrs episode but seeing how many tweet about him unhappy,know really want ranks rise lot tmrs episode seeing many tweet unhappy,know realli want rank rise lot tmr episod see mani tweet unhappi,know really want rank rise lot tmrs episode seeing many tweet unhappy,know realli want rank rise lot tmr episod see mani tweet unhappi,know really want rank rise lot tmrs episode seeing many tweet unhappy
 Hitches Ride For Final unhappy  ,negative,hitches ride for final unhappy,hitches ride final unhappy,hitch ride final unhappi,hitch ride final unhappy,hitch ride final unhappi,hitch ride final unhappy
White genocide is not a thing. Its figment of your imagination. Youre a victim of nothing but disinformation. ,negative,white genocide is not thing its figment of your imagination youre victim of nothing but disinformation,white genocide thing figment imagination youre victim nothing disinformation,white genocid thing figment imagin your victim noth disinform,white genocide thing figment imagination youre victim nothing disinformation,white genocid thing figment imagin your victim noth disinform,white genocide thing figment imagination youre victim nothing disinformation
one direction (band)  whats going on unhappy ,negative,one direction band whats going on unhappy,one direction band whats going unhappy,one direct band what go unhappi,one direction band whats going unhappy,one direct band what go unhappi,one direction band whats going unhappy
Too bad i can't watch it unhappy  that cake is cute and looks delicious,negative,too bad cant watch it unhappy that cake is cute and looks delicious,bad cant watch unhappy cake cute looks delicious,bad cant watch unhappi cake cute look delici,bad cant watch unhappy cake cute look delicious,bad cant watch unhappi cake cute look delici,bad cant watch unhappy cake cute look delicious
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
give me my own AHN MINHYUK juseyoooo unhappy ,negative,give me my own ahn minhyuk juseyoooo unhappy,give ahn minhyuk juseyoooo unhappy,give ahn minhyuk juseyoooo unhappi,give ahn minhyuk juseyoooo unhappy,give ahn minhyuk juseyoo unhappi,give ahn minhyuk juseyoo unhappy
sorry unhappy  i just need sex for the time being,negative,sorry unhappy just need sex for the time being,sorry unhappy need sex time,sorri unhappi need sex time,sorry unhappy need sex time,sorri unhappi need sex time,sorry unhappy need sex time
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
wants to say HI to you.,negative,wants to say hi to you,wants say hi,want say hi,want say hi,want say hi,want say hi
this is jimin to yoongi unhappy  ,negative,this is jimin to yoongi unhappy,jimin yoongi unhappy,jimin yoongi unhappi,jimin yoongi unhappy,jimin yoongi unhappi,jimin yoongi unhappy
It seems they cost abut 40k a year? I'm paying half that for my full education and don't get treat ,negative,it seems they cost abut year im paying half that for my full education and dont get treat,seems cost abut year im paying half full education dont get treat,seem cost abut year im pay half full educ dont get treat,seems cost abut year im paying half full education dont get treat,seem cost abut year im pay half full educ dont get treat,seems cost abut year im paying half full education dont get treat
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
come to Miami sad  ,negative,come to miami sad,come miami sad,come miami sad,come miami sad,come miami sad,come miami sad
TW: S AssaultActually horrified how many friends of mine women I talk to have been sexually assaulted in past. Just found out another unhappy ,negative,tw assaultactually horrified how many friends of mine women talk to have been sexually assaulted in past just found out another unhappy,tw assaultactually horrified many friends mine women talk sexually assaulted past found another unhappy,tw assaultactu horrifi mani friend mine women talk sexual assault past found anoth unhappi,tw assaultactually horrified many friend mine woman talk sexually assaulted past found another unhappy,tw assaultactu horrifi mani friend mine women talk sexual assault past found anoth unhappi,tw assaultactually horrified many friend mine woman talk sexually assaulted past found another unhappy
my heart unhappy  ,negative,my heart unhappy,heart unhappy,heart unhappi,heart unhappy,heart unhappi,heart unhappy
soph please don%27t win again unhappy   jk.. good luck i think you will draw a good poster,negative,soph please dont win again unhappy jk good luck think you will draw good poster,soph please dont win unhappy jk good luck think draw good poster,soph pleas dont win unhappi jk good luck think draw good poster,soph please dont win unhappy jk good luck think draw good poster,soph pleas dont win unhappi jk good luck think draw good poster,soph please dont win unhappy jk good luck think draw good poster
sad  I don't,negative,sad dont,sad dont,sad dont,sad dont,sad dont,sad dont
 unfortunately,negative,unfortunately,unfortunately,unfortun,unfortunately,unfortun,unfortunately
i really feel for that lamp unhappy ,negative,really feel for that lamp unhappy,really feel lamp unhappy,realli feel lamp unhappi,really feel lamp unhappy,realli feel lamp unhappi,really feel lamp unhappy
sadly I'm not unhappy ,negative,sadly im not unhappy,sadly im unhappy,sadli im unhappi,sadly im unhappy,sadli im unhappi,sadly im unhappy
last kiss unhappy  ,negative,last kiss unhappy,last kiss unhappy,last kiss unhappi,last kiss unhappy,last kiss unhappi,last kiss unhappy
WHY ARE YOU WHIMPER AT ME? ,negative,why are you whimper at me,whimper,whimper,whimper,whimper,whimper
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca,damn theres people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca
Been streaminuteg for 45 minute not understanding a thing and still.. unhappy ,negative,been streaminuteg for minute not understanding thing and still unhappy,streaminuteg minute understanding thing still unhappy,streaminuteg minut understand thing still unhappi,streaminuteg minute understanding thing still unhappy,streaminuteg minut understand thing still unhappi,streaminuteg minute understanding thing still unhappy
Why is it so difficult for me to get at least a chance unhappy ,negative,why is it so difficult for me to get at least chance unhappy,difficult get least chance unhappy,difficult get least chanc unhappi,difficult get least chance unhappy,difficult get least chanc unhappi,difficult get least chance unhappy
for some reason last.fm unlinks from spotify and i miss like a month of scrobbles before i notice unhappy ,negative,for some reason lastfm unlinks from spotify and miss like month of scrobbles before notice unhappy,reason lastfm unlinks spotify miss like month scrobbles notice unhappy,reason lastfm unlink spotifi miss like month scrobbl notic unhappi,reason lastfm unlinks spotify miss like month scrobbles notice unhappy,reason lastfm unlink spotifi miss like month scrobbl notic unhappi,reason lastfm unlinks spotify miss like month scrobbles notice unhappy
only take season 9 off ,negative,only take season off,take season,take season,take season,take season,take season
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
All of the park areas in Paris are marked as green on Google maps,negative,all of the park areas in paris are marked as green on google maps,park areas paris marked green google maps,park area pari mark green googl map,park area paris marked green google map,park area pari mark green googl map,park area paris marked green google map
 but in reality they're just patches of dusty dirt unhappy ,negative,but in reality theyre just patches of dusty dirt unhappy,reality theyre patches dusty dirt unhappy,realiti theyr patch dusti dirt unhappi,reality theyre patch dusty dirt unhappy,realiti theyr patch dusti dirt unhappi,reality theyre patch dusty dirt unhappy
ill be at work just a second come on unhappy ,negative,ill be at work just second come on unhappy,ill work second come unhappy,ill work second come unhappi,ill work second come unhappy,ill work second come unhappi,ill work second come unhappy
and he's still taking over a quarter of the billboard charts while x is,negative,and hes still taking over quarter of the billboard charts while is,hes still taking quarter billboard charts,he still take quarter billboard chart,he still taking quarter billboard chart,he still take quarter billboard chart,he still taking quarter billboard chart
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca,damn theres people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca
Guys please help I tried to smoke some lettuce earlier but now my salad is ruined unhappy ,negative,guys please help tried to smoke some lettuce earlier but now my salad is ruined unhappy,guys please help tried smoke lettuce earlier salad ruined unhappy,guy pleas help tri smoke lettuc earlier salad ruin unhappi,guy please help tried smoke lettuce earlier salad ruined unhappy,guy pleas help tri smoke lettuc earlier salad ruin unhappi,guy please help tried smoke lettuce earlier salad ruined unhappy
CAN SOMEONE PLS GIFT ME XAYAH USING PI PLSSSS? unhappy ,negative,can someone pls gift me xayah using pi plssss unhappy,someone pls gift xayah using pi plssss unhappy,someon pl gift xayah use pi plssss unhappi,someone pls gift xayah using pi plssss unhappy,someon pl gift xayah use pi plss unhappi,someone pls gift xayah using pi plss unhappy
instant message still bored unhappy ,negative,instant message still bored unhappy,instant message still bored unhappy,instant messag still bore unhappi,instant message still bored unhappy,instant messag still bore unhappi,instant message still bored unhappy
this is jimin to yoongi unhappy  ,negative,this is jimin to yoongi unhappy,jimin yoongi unhappy,jimin yoongi unhappi,jimin yoongi unhappy,jimin yoongi unhappi,jimin yoongi unhappy
My heart hurts. sad  I hate people ,negative,my heart hurts sad hate people,heart hurts sad hate people,heart hurt sad hate peopl,heart hurt sad hate people,heart hurt sad hate peopl,heart hurt sad hate people
can just see the edge creeping in unhappy  ,negative,can just see the edge creeping in unhappy,see edge creeping unhappy,see edg creep unhappi,see edge creeping unhappy,see edg creep unhappi,see edge creeping unhappy
Its not organicthey'll shoehorn it inbut plot  character developmentMCU netflix has lesWhat support ,negative,its not organictheyll shoehorn it inbut plot character developmentmcu netflix has leswhat support,organictheyll shoehorn inbut plot character developmentmcu netflix leswhat support,organictheyl shoehorn inbut plot charact developmentmcu netflix leswhat support,organictheyll shoehorn inbut plot character developmentmcu netflix leswhat support,organictheyl shoehorn inbut plot charact developmentmcu netflix leswhat support,organictheyll shoehorn inbut plot character developmentmcu netflix leswhat support
I suddenly miss you ate unhappy ,negative,suddenly miss you ate unhappy,suddenly miss ate unhappy,suddenli miss ate unhappi,suddenly miss ate unhappy,suddenli miss ate unhappi,suddenly miss ate unhappy
Biggest problem for paper books is storage unhappy ,negative,biggest problem for paper books is storage unhappy,biggest problem paper books storage unhappy,biggest problem paper book storag unhappi,biggest problem paper book storage unhappy,biggest problem paper book storag unhappi,biggest problem paper book storage unhappy
i havent been this early to school since last semester unhappy ,negative,havent been this early to school since last semester unhappy,havent early school since last semester unhappy,havent earli school sinc last semest unhappi,havent early school since last semester unhappy,havent earli school sinc last semest unhappi,havent early school since last semester unhappy
Pierces like a bitch unhappy ,negative,pierces like bitch unhappy,pierces like bitch unhappy,pierc like bitch unhappi,pierce like bitch unhappy,pierc like bitch unhappi,pierce like bitch unhappy
I think that's one of the hottest part of your body  ,negative,think thats one of the hottest part of your body,think thats one hottest part body,think that one hottest part bodi,think thats one hottest part body,think that one hottest part bodi,think thats one hottest part body
wow this is amazing but i won't be in the country unhappy  ,negative,wow this is amazing but wont be in the country unhappy,wow amazing wont country unhappy,wow amaz wont countri unhappi,wow amazing wont country unhappy,wow amaz wont countri unhappi,wow amazing wont country unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
i want harry's phonecase sad ,negative,want harrys phonecase sad,want harrys phonecase sad,want harri phonecas sad,want harrys phonecase sad,want harri phonecas sad,want harrys phonecase sad
Work at 7 this morning unhappy ,negative,work at this morning unhappy,work morning unhappy,work morn unhappi,work morning unhappy,work morn unhappi,work morning unhappy
jungkook looks like he gives the biggest and warmest hugs unhappy  ,negative,jungkook looks like he gives the biggest and warmest hugs unhappy,jungkook looks like gives biggest warmest hugs unhappy,jungkook look like give biggest warmest hug unhappi,jungkook look like give biggest warmest hug unhappy,jungkook look like give biggest warmest hug unhappi,jungkook look like give biggest warmest hug unhappy
Ah Baba no idea tori olorun. May I never be a victim of such case ,negative,ah baba no idea tori olorun may never be victim of such case,ah baba idea tori olorun may never victim case,ah baba idea tori olorun may never victim case,ah baba idea torus olorun may never victim case,ah baba idea tori olorun may never victim case,ah baba idea torus olorun may never victim case
PSA: REMEMBER THIS WHEN YOU ASK ARTISTS TO DRAW FOR YOU. I'd say the same thing for writers but apparently commissi ,negative,psa remember this when you ask artists to draw for you id say the same thing for writers but apparently commissi,psa remember ask artists draw id say thing writers apparently commissi,psa rememb ask artist draw id say thing writer appar commissi,psa remember ask artist draw id say thing writer apparently commissi,psa rememb ask artist draw id say thing writer appar commissi,psa remember ask artist draw id say thing writer apparently commissi
I want to give him everything that makes him happy just to see this smile unhappy ,negative,want to give him everything that makes him happy just to see this smile unhappy,want give everything makes happy see smile unhappy,want give everyth make happi see smile unhappi,want give everything make happy see smile unhappy,want give everyth make happi see smile unhappi,want give everything make happy see smile unhappy
I miss Jamie boy and we're both sick unhappy ,negative,miss jamie boy and were both sick unhappy,miss jamie boy sick unhappy,miss jami boy sick unhappi,miss jamie boy sick unhappy,miss jami boy sick unhappi,miss jamie boy sick unhappy
what if the one direction (band)  itself is the one who's giving up? unhappy  ,negative,what if the one direction band itself is the one whos giving up unhappy,one direction band one whos giving unhappy,one direct band one who give unhappi,one direction band one who giving unhappy,one direct band one who give unhappi,one direction band one who giving unhappy
damn ify ate unhappy ,negative,damn ify ate unhappy,damn ify ate unhappy,damn ifi ate unhappi,damn ify ate unhappy,damn ifi ate unhappi,damn ify ate unhappy
Whaaattt ,negative,whaaattt,whaaattt,whaaattt,whaaattt,whaatt,whaatt
don't rt to save a guy's life ,negative,dont rt to save guys life,dont rt save guys life,dont rt save guy life,dont rt save guy life,dont rt save guy life,dont rt save guy life
Nooo your hair color is pretty ,negative,nooo your hair color is pretty,nooo hair color pretty,nooo hair color pretti,nooo hair color pretty,noo hair color pretti,noo hair color pretty
Koalas are dying of thirst  and it's all because of us unhappy  ,negative,koalas are dying of thirst and its all because of us unhappy,koalas dying thirst us unhappy,koala die thirst us unhappi,koala dying thirst u unhappy,koala die thirst us unhappi,koala dying thirst u unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
where's justin i miss him unhappy ,negative,wheres justin miss him unhappy,wheres justin miss unhappy,where justin miss unhappi,wheres justin miss unhappy,where justin miss unhappi,wheres justin miss unhappy
Someone should bring me breakfast to work unhappy ,negative,someone should bring me breakfast to work unhappy,someone bring breakfast work unhappy,someon bring breakfast work unhappi,someone bring breakfast work unhappy,someon bring breakfast work unhappi,someone bring breakfast work unhappy
Thats grim unhappy ,negative,thats grim unhappy,thats grim unhappy,that grim unhappi,thats grim unhappy,that grim unhappi,thats grim unhappy
oh noooo baby unhappy ,negative,oh noooo baby unhappy,oh noooo baby unhappy,oh noooo babi unhappi,oh noooo baby unhappy,oh noo babi unhappi,oh noo baby unhappy
I'm so tired unhappy ,negative,im so tired unhappy,im tired unhappy,im tire unhappi,im tired unhappy,im tire unhappi,im tired unhappy
I miss you Levi unhappy ,negative,miss you levi unhappy,miss levi unhappy,miss levi unhappi,miss levi unhappy,miss levi unhappi,miss levi unhappy
i left my headphones at home unhappy  kms,negative,left my headphones at home unhappy kms,left headphones home unhappy kms,left headphon home unhappi km,left headphone home unhappy km,left headphon home unhappi km,left headphone home unhappy km
I wish I was meeting OA again unhappy ,negative,wish was meeting oa again unhappy,wish meeting oa unhappy,wish meet oa unhappi,wish meeting oa unhappy,wish meet oa unhappi,wish meeting oa unhappy
A year ago today is the last time Sakho played for us unhappy ,negative,year ago today is the last time sakho played for us unhappy,year ago today last time sakho played us unhappy,year ago today last time sakho play us unhappi,year ago today last time sakho played u unhappy,year ago today last time sakho play us unhappi,year ago today last time sakho played u unhappy
they would have sustained their fame if they did unhappy ,negative,they would have sustained their fame if they did unhappy,would sustained fame unhappy,would sustain fame unhappi,would sustained fame unhappy,would sustain fame unhappi,would sustained fame unhappy
I miss him unhappy  ,negative,miss him unhappy,miss unhappy,miss unhappi,miss unhappy,miss unhappi,miss unhappy
ich will ned unhappy ,negative,ich will ned unhappy,ich ned unhappy,ich ned unhappi,ich ned unhappy,ich ned unhappi,ich ned unhappy
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,negative,when your online crush comes to the meetup without their snapchat filter unhappy,online crush comes meetup without snapchat filter unhappy,onlin crush come meetup without snapchat filter unhappi,online crush come meetup without snapchat filter unhappy,onlin crush come meetup without snapchat filter unhappi,online crush come meetup without snapchat filter unhappy
This is by far my worst day of 2017 since January 8th unhappy  crying  crying .,negative,this is by far my worst day of since january th unhappy crying crying,far worst day since january th unhappy crying crying,far worst day sinc januari th unhappi cri cri,far worst day since january th unhappy cry cry,far worst day sinc januari th unhappi cri cri,far worst day since january th unhappy cry cry
Note to self: Dont get to attached crying ,negative,note to self dont get to attached crying,note self dont get attached crying,note self dont get attach cri,note self dont get attached cry,note self dont get attach cri,note self dont get attached cry
Mine hasn't been sending stuff unhappy ,negative,mine hasnt been sending stuff unhappy,mine hasnt sending stuff unhappy,mine hasnt send stuff unhappi,mine hasnt sending stuff unhappy,mine hasnt send stuff unhappi,mine hasnt sending stuff unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
Roc Boyz sad  ,negative,roc boyz sad,roc boyz sad,roc boyz sad,roc boyz sad,roc boyz sad,roc boyz sad
i love you but I can%27t be arsed i don%27t know why people keep saying it unhappy ,negative,love you but cant be arsed dont know why people keep saying it unhappy,love cant arsed dont know people keep saying unhappy,love cant ars dont know peopl keep say unhappi,love cant arsed dont know people keep saying unhappy,love cant ars dont know peopl keep say unhappi,love cant arsed dont know people keep saying unhappy
No Celtics or Bruins today unhappy  At least Sale is pitching for the Sox,negative,no celtics or bruins today unhappy at least sale is pitching for the sox,celtics bruins today unhappy least sale pitching sox,celtic bruin today unhappi least sale pitch sox,celtic bruin today unhappy least sale pitching sox,celtic bruin today unhappi least sale pitch sox,celtic bruin today unhappy least sale pitching sox
I honestly think that their just trying to get rid of me and make a mockery out of me in my Town because i just wont admit it. unhappy ,negative,honestly think that their just trying to get rid of me and make mockery out of me in my town because just wont admit it unhappy,honestly think trying get rid make mockery town wont admit unhappy,honestli think tri get rid make mockeri town wont admit unhappi,honestly think trying get rid make mockery town wont admit unhappy,honestli think tri get rid make mockeri town wont admit unhappi,honestly think trying get rid make mockery town wont admit unhappy
Nooo your hair color is pretty ,negative,nooo your hair color is pretty,nooo hair color pretty,nooo hair color pretti,nooo hair color pretty,noo hair color pretti,noo hair color pretty
Aseek ,negative,aseek,aseek,aseek,aseek,aseek,aseek
Bantay? unhappy ,negative,bantay unhappy,bantay unhappy,bantay unhappi,bantay unhappy,bantay unhappi,bantay unhappy
Trying to get in touch with but their numbers appear to be down! unhappy ,negative,trying to get in touch with but their numbers appear to be down unhappy,trying get touch numbers appear unhappy,tri get touch number appear unhappi,trying get touch number appear unhappy,tri get touch number appear unhappi,trying get touch number appear unhappy
Need your help guys crying  ,negative,need your help guys crying,need help guys crying,need help guy cri,need help guy cry,need help guy cri,need help guy cry
A fish killer going to be pressed younhappy  I the hoe of today you were a  GOOD person ,negative,fish killer going to be pressed younhappy the hoe of today you were good person,fish killer going pressed younhappy hoe today good person,fish killer go press younhappi hoe today good person,fish killer going pressed younhappy hoe today good person,fish killer go press younhappi hoe today good person,fish killer going pressed younhappy hoe today good person
I need lessons to learn how to start conversations with people and keep chatting with them unhappy ,negative,need lessons to learn how to start conversations with people and keep chatting with them unhappy,need lessons learn start conversations people keep chatting unhappy,need lesson learn start convers peopl keep chat unhappi,need lesson learn start conversation people keep chatting unhappy,need lesson learn start convers peopl keep chat unhappi,need lesson learn start conversation people keep chatting unhappy
 Who hacked me unhappy ,negative,who hacked me unhappy,hacked unhappy,hack unhappi,hacked unhappy,hack unhappi,hacked unhappy
Damn you both,negative,damn you both,damn,damn,damn,damn,damn
 I won't be on till later! unhappy ,negative,wont be on till later unhappy,wont till later unhappy,wont till later unhappi,wont till later unhappy,wont till later unhappi,wont till later unhappy
Lets hope a VIP does this good deed. I want to watch this too . They shouldn't have done thi ,negative,lets hope vip does this good deed want to watch this too they shouldnt have done thi,lets hope vip good deed want watch shouldnt done thi,let hope vip good deed want watch shouldnt done thi,let hope vip good deed want watch shouldnt done thi,let hope vip good deed want watch shouldnt done thi,let hope vip good deed want watch shouldnt done thi
sometimes at night i feel scared and vulnerable crying ,negative,sometimes at night feel scared and vulnerable crying,sometimes night feel scared vulnerable crying,sometim night feel scare vulner cri,sometimes night feel scared vulnerable cry,sometim night feel scare vulner cri,sometimes night feel scared vulnerable cry
If you really want to dye it don't go lighter ,negative,if you really want to dye it dont go lighter,really want dye dont go lighter,realli want dye dont go lighter,really want dye dont go lighter,realli want dye dont go lighter,really want dye dont go lighter
how come i didn't get a reminder email this month unhappy ,negative,how come didnt get reminder email this month unhappy,come didnt get reminder email month unhappy,come didnt get remind email month unhappi,come didnt get reminder email month unhappy,come didnt get remind email month unhappi,come didnt get reminder email month unhappy
wowwow these are all so cute unhappy  i wantt ,negative,wowwow these are all so cute unhappy wantt,wowwow cute unhappy wantt,wowwow cute unhappi wantt,wowwow cute unhappy wantt,wowwow cute unhappi wantt,wowwow cute unhappy wantt
 [PLEASE RT] he'll buy me a blinking taehyung headband,negative,please rt hell buy me blinking taehyung headband,please rt hell buy blinking taehyung headband,pleas rt hell buy blink taehyung headband,please rt hell buy blinking taehyung headband,pleas rt hell buy blink taehyung headband,please rt hell buy blinking taehyung headband
 if i get 900 retweets and 900 likes. help me :(un,negative,if get retweets and likes help me un,get retweets likes help un,get retweet like help un,get retweets like help un,get retweet like help un,get retweets like help un
younhappy  I'll keep it jyoust for you,negative,younhappy ill keep it jyoust for you,younhappy ill keep jyoust,younhappi ill keep jyoust,younhappy ill keep jyoust,younhappi ill keep jyoust,younhappy ill keep jyoust
Damn it isn't available here unhappy  ,negative,damn it isnt available here unhappy,damn isnt available unhappy,damn isnt avail unhappi,damn isnt available unhappy,damn isnt avail unhappi,damn isnt available unhappy
it's $10 but also free postage. i wish the seller had yanan and yeo one too. unhappy ,negative,its but also free postage wish the seller had yanan and yeo one too unhappy,also free postage wish seller yanan yeo one unhappy,also free postag wish seller yanan yeo one unhappi,also free postage wish seller yanan yeo one unhappy,also free postag wish seller yanan yeo one unhappi,also free postage wish seller yanan yeo one unhappy
Don kray denial of normal bi say ,negative,don kray denial of normal bi say,kray denial normal bi say,kray denial normal bi say,kray denial normal bi say,kray denial normal bi say,kray denial normal bi say
Same unhappy  I've unfollowed so many people ugh,negative,same unhappy ive unfollowed so many people ugh,unhappy ive unfollowed many people ugh,unhappi ive unfollow mani peopl ugh,unhappy ive unfollowed many people ugh,unhappi ive unfollow mani peopl ugh,unhappy ive unfollowed many people ugh
 it's such a negative pit of unhappiness,negative,its such negative pit of unhappiness,negative pit unhappiness,neg pit unhappi,negative pit unhappiness,neg pit unhappi,negative pit unhappiness
its ending soon aah unhappy ,negative,its ending soon aah unhappy,ending soon aah unhappy,end soon aah unhappi,ending soon aah unhappy,end soon aah unhappi,ending soon aah unhappy
Definitely my arms unhappy  ,negative,definitely my arms unhappy,definitely arms unhappy,definit arm unhappi,definitely arm unhappy,definit arm unhappi,definitely arm unhappy
this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca,damn theres people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca,damn there peopl sincer want attend bh birthday parti bc peopl tri fun make ca,damn there people sincerely want attend bh birthday party bcs people try fun make ca
Faltan Russel  why Noodle unhappy ,negative,faltan russel why noodle unhappy,faltan russel noodle unhappy,faltan russel noodl unhappi,faltan russel noodle unhappy,faltan russel noodl unhappi,faltan russel noodle unhappy
yeah i am unhappy  thank you so much my angel ,negative,yeah am unhappy thank you so much my angel,yeah unhappy thank much angel,yeah unhappi thank much angel,yeah unhappy thank much angel,yeah unhappi thank much angel,yeah unhappy thank much angel
i miss jihoon sad ,negative,miss jihoon sad,miss jihoon sad,miss jihoon sad,miss jihoon sad,miss jihoon sad,miss jihoon sad
We lost: at Jacksonville,negative,we lost at jacksonville,lost jacksonville,lost jacksonvil,lost jacksonville,lost jacksonvil,lost jacksonville
 2010 Week 11,negative,week,week,week,week,week,week
 24-20 unhappy ,negative,unhappy,unhappy,unhappi,unhappy,unhappi,unhappy
i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  ,negative,hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy,hope little beaand andot overworkiandg gettiandg least rest unhappy,hope littl beaand andot overworkiandg gettiandg least rest unhappi,hope little beaand andot overworkiandg gettiandg least rest unhappy,hope littl beaand andot overworkiandg gettiandg least rest unhappi,hope little beaand andot overworkiandg gettiandg least rest unhappy
Guess who's not getting a unicorn frappuccino because they're sold out unhappy ,negative,guess whos not getting unicorn frappuccino because theyre sold out unhappy,guess whos getting unicorn frappuccino theyre sold unhappy,guess who get unicorn frappuccino theyr sold unhappi,guess who getting unicorn frappuccino theyre sold unhappy,guess who get unicorn frappuccino theyr sold unhappi,guess who getting unicorn frappuccino theyre sold unhappy
what if the one direction (band)  itself is the one who's giving up? unhappy  ,negative,what if the one direction band itself is the one whos giving up unhappy,one direction band one whos giving unhappy,one direct band one who give unhappi,one direction band one who giving unhappy,one direct band one who give unhappi,one direction band one who giving unhappy
come back callie  gabbie d ghost unhappy  i love you both,negative,come back callie gabbie ghost unhappy love you both,come back callie gabbie ghost unhappy love,come back calli gabbi ghost unhappi love,come back callie gabbie ghost unhappy love,come back calli gabbi ghost unhappi love,come back callie gabbie ghost unhappy love
unhappy  oh man..,negative,unhappy oh man,unhappy oh man,unhappi oh man,unhappy oh man,unhappi oh man,unhappy oh man
it kind of feels like a sunburight now right now sad  someone please make the nobby things on glasses not slip,negative,it kind of feels like sunburight now right now sad someone please make the nobby things on glasses not slip,kind feels like sunburight right sad someone please make nobby things glasses slip,kind feel like sunburight right sad someon pleas make nobbi thing glass slip,kind feel like sunburight right sad someone please make nobby thing glass slip,kind feel like sunburight right sad someon pleas make nobbi thing glass slip,kind feel like sunburight right sad someone please make nobby thing glass slip
